replicate,mt_raw_mean_tv,y_raw_mean_tv,delta_y_minus_mt_raw,mt_noise_floor_subtracted_mean_tv,y_noise_floor_subtracted_mean_tv,delta_y_minus_mt_noise_floor_subtracted,mt_parametric_bias_corrected_mean_tv,y_parametric_bias_corrected_mean_tv,delta_y_minus_mt_parametric_bias_corrected
0,0.5523148148148148,0.48286600965172394,-0.06944880516309088,0.12943901332755323,0.1393964557062141,0.009957442378660863,0.3111144044318838,0.3466766120048738,0.03556220757299
1,0.5802721088435375,0.6635582010582011,0.08328609221466354,0.1465926655384376,0.3033448256524832,0.1567521601140456,0.33907169846060636,0.5273688034113508,0.18829710495074448
2,0.5862644993894994,0.5970630559916275,0.010798556602128029,0.1529839789868939,0.23684968058590955,0.08386570159901566,0.3450640890065683,0.4608736583447772,0.1158095693382089
3,0.6454220513963161,0.6201278428037881,-0.025294208592528067,0.2067739539628983,0.2599144673980703,0.05314051343517198,0.4042216410133851,0.48393844515693807,0.07971680414355298
4,0.586099482528054,0.4949604628176057,-0.0911390197104483,0.14103068831592466,0.15815173799006782,0.017121049674143157,0.344899072145123,0.35877106517075547,0.013871993025632467
5,0.6483785394499681,0.5520095645095645,-0.09636897494040364,0.20330974523783876,0.194723109872154,-0.00858663536568477,0.407178129067037,0.4158201668627144,0.008642037795677404
6,0.6143975966454958,0.5895785237171792,-0.024819072928316532,0.1693288024333665,0.23806668661909208,0.06873788418572557,0.37319718626256476,0.453389126070329,0.08019193980776423
7,0.6273223652604674,0.5153943962408812,-0.11192796901958613,0.18842063454040156,0.1551810208351633,-0.03323961370523826,0.38612195487753637,0.379204998594031,-0.00691695628350536
8,0.5679144722405091,0.5781167861409796,0.01020231390047055,0.13413074297729846,0.21790341073526184,0.08377266775796338,0.3267140618575781,0.44192738849412955,0.11521332663655143
9,0.4721357317630609,0.5867160961881458,0.1145803644250849,0.05820653922240833,0.226502720782428,0.1682961815600197,0.2310527572867256,0.4505266985412958,0.21947394125457018
10,0.7001643736937855,0.5439387917329094,-0.1562255819608761,0.2550955794816562,0.19899644807322328,-0.056099131408432895,0.45896396331085443,0.40774939408605926,-0.05121456922479517
11,0.54130672513113,0.5961628329783092,0.0548561078471792,0.11048368772172172,0.23594945757259128,0.12546576985086955,0.3001063147481989,0.459973435331459,0.15986712058326014
12,0.5360837497392119,0.5484826836717592,0.012398933932547318,0.12339563296472433,0.18826930826604144,0.0648736753013171,0.29488333935628086,0.4122932860249091,0.11740994666862825
13,0.5787518037518037,0.5528391053391053,-0.025912698412698387,0.13368300953967446,0.1926257299333875,0.05894272039371304,0.3375513933688727,0.4166497076922551,0.07909831432338243
14,0.6274291857211111,0.4745757020757021,-0.15285348364540896,0.1823603915089819,0.12137088009135277,-0.06098951141762912,0.38622877533818023,0.33838630442885187,-0.04784247090932836
15,0.6058206303306424,0.4936942270605829,-0.11212640327005946,0.17190985782719648,0.13852019634010762,-0.033389661487088856,0.3646202199477112,0.35750482941373274,-0.007115390533978472
16,0.6204706434545144,0.5165468875722331,-0.10392375588228131,0.17540184924238517,0.15636927647223758,-0.019032572770147582,0.3792702330715834,0.38035748992538304,0.001087256853799623
17,0.6551357321567731,0.5335501297849028,-0.12158560237187033,0.21608497365892956,0.18509601033156584,-0.030988963327363728,0.4139353217738421,0.3973607321380526,-0.016574589635789505
18,0.6602653241872256,0.6117832318596326,-0.04848209232759304,0.21519652997509642,0.25156985645391466,0.036373326478818246,0.41906491380429467,0.47559383421278234,0.05652892040848767
19,0.5210948695717603,0.5333348082822872,0.012239938710526865,0.09908979508897575,0.1792796461618835,0.08018985107290774,0.27989445918882927,0.397145410635437,0.11725095144660774
20,0.6510001673045152,0.5626881055452484,-0.08831206175926676,0.20593137309238577,0.20665325720252964,0.0007218841101438722,0.4097997569215841,0.4264987078983982,0.01669895097681412
21,0.6233306950241551,0.5375530602512699,-0.08577763477288514,0.17937845925358417,0.182460526660539,0.003082067406954825,0.38213028464122395,0.4013636626044198,0.019233377963195852
22,0.6091199358531291,0.5378533357787559,-0.07126660007437313,0.17740142843753665,0.18133981074500505,0.003938382307468402,0.36791952547019807,0.40166393813190576,0.03374441266170769
23,0.6292252886002886,0.5229250412286127,-0.10630024737167587,0.1841564943881593,0.1627116658228948,-0.021444828565264473,0.3880248782173576,0.38673564358176254,-0.001289234635595049
24,0.558341867212835,0.4985397922609905,-0.059802074951844475,0.1273766444292771,0.15391395742705685,0.026537312997779755,0.3171414568299039,0.36235039461414026,0.04520893778423635
25,0.5515929279168196,0.5539695685631646,0.0023766406463450185,0.12612221062776716,0.20465659553284915,0.078534384905082,0.31039251753388847,0.4177801709163145,0.10738765338242601
26,0.5691647638076209,0.5199891378462806,-0.049175625961340286,0.1258361845425816,0.16806631117754015,0.04223012663495854,0.32796435342468994,0.3837997401994305,0.055835386774740536
27,0.6262701848416133,0.5386717515288943,-0.08759843331271899,0.1812013906294841,0.1864597366673942,0.0052583460379101166,0.38506977445868235,0.4024823538820442,0.01741257942336183
28,0.5658908221408221,0.5803976116476116,0.01450678950678952,0.15268313032167025,0.2201842362418938,0.06750110592022354,0.32469041175789115,0.44420821400076144,0.11951780224287029
29,0.6078709715600762,0.6826273038460332,0.07475633228595702,0.19691187972889937,0.3224139284403154,0.12550204871141604,0.3667879970837409,0.5464379061991832,0.17964990911544232
30,0.7234697669480278,0.5063807536633623,-0.21708901328466546,0.27840097273589853,0.1685453404179297,-0.10985563231796883,0.4822693565650968,0.37019135601651215,-0.11207800054858463
31,0.5241381303881304,0.5328293730079444,0.008691242619814021,0.09932806964160955,0.20417387075148627,0.10484580110987672,0.28436203051728876,0.40014793785643726,0.11578590733914851
